Name,BioguideID,District,Party,State,Terms
"Lazio, Rick",L000155,2,Republican,New York,"Start: 1993, End: 2001, Chamber: House of Representatives"
"Laughlin, Greg",L000119,14,Republican,Texas,"Start: 1989, End: 1997, Chamber: House of Representatives"
"Latta, Delbert L.",L000116,5,Republican,Ohio,"Start: 1959, End: 1989, Chamber: House of Representatives"
"LaTourette, Steven C.",L000553,14,Republican,Ohio,"Start: 1995, End: 2013, Chamber: House of Representatives"
"Latham, Tom",L000111,3,Republican,Iowa,"Start: 1995, End: 2015, Chamber: House of Representatives"
"LaRocco, Larry",L000098,1,Democratic,Idaho,"Start: 1991, End: 1995, Chamber: House of Representatives"
"Largent, Steve",L000096,1,Republican,Oklahoma,"Start: 1993, End: 2002, Chamber: House of Representatives"
"Lantos, Tom",L000090,12,Democratic,California,"Start: 1981, End: 2008, Chamber: House of Representatives"
"Landrum, Phil M.",L000054,9,Democratic,Georgia,"Start: 1953, End: 1977, Chamber: House of Representatives"
"Landgrebe, Earl F.",L000049,2,Republican,Indiana,"Start: 1969, End: 1975, Chamber: House of Representatives"
"Lancaster, H. Martin",L000045,3,Democratic,North Carolina,"Start: 1987, End: 1995, Chamber: House of Representatives"
"LaHood, Ray",L000552,18,Republican,Illinois,"Start: 1995, End: 2009, Chamber: House of Representatives"
"Lagomarsino, Robert J.",L000020,19,Republican,California,"Start: 1973, End: 1993, Chamber: House of Representatives"
"LaFalce, John J.",L000556,29,Democratic,New York,"Start: 1975, End: 2003, Chamber: House of Representatives"
"Kyros, Peter N.",K000356,1,Democratic,Maine,"Start: 1967, End: 1975, Chamber: House of Representatives"
"Kyl, Jon",K000352,N/A,Republican,Arizona,"Start: 1987, End: 1995, Chamber: House of Representatives; Start: 1995, End: 2013, Chamber: Senate; Start: 2018, End: 2019, Chamber: Senate"
"Kuykendall, Dan H.",K000348,8,Republican,Tennessee,"Start: 1967, End: 1975, Chamber: House of Representatives"
"Kreidler, Mike",K000328,9,Democratic,Washington,"Start: 1993, End: 1995, Chamber: House of Representatives"
"Krebs, John H.",K000325,17,Democratic,California,"Start: 1975, End: 1979, Chamber: House of Representatives"
"Kramer, Ken",K000322,5,Republican,Colorado,"Start: 1979, End: 1987, Chamber: House of Representatives"
"Kostmayer, Peter H.",K000319,8,Democratic,Pennsylvania,"Start: 1977, End: 1981, Chamber: House of Representatives; Start: 1983, End: 1993, Chamber: House of Representatives"
"Kopetski, Mike",K000312,5,Democratic,Oregon,"Start: 1991, End: 1995, Chamber: House of Representatives"
"Konnyu, Ernest L.",K000309,12,Republican,California,"Start: 1987, End: 1989, Chamber: House of Representatives"
"Kolter, Joseph P.",K000307,4,Democratic,Pennsylvania,"Start: 1983, End: 1993, Chamber: House of Representatives"
"Kogovsek, Ray",K000304,3,Democratic,Colorado,"Start: 1979, End: 1985, Chamber: House of Representatives"
"Koch, Edward I.",K000302,18,Democratic,New York,"Start: 1969, End: 1979, Chamber: House of Representatives"
"Knollenberg, Joe",K000288,9,Republican,Michigan,"Start: 1993, End: 2009, Chamber: House of Representatives"
"Klug, Scott L.",K000274,2,Republican,Wisconsin,"Start: 1991, End: 1999, Chamber: House of Representatives"
"Kluczynski, John C.",K000273,5,Democratic,Illinois,"Start: 1951, End: 1977, Chamber: House of Representatives"
"Klink, Ron",K000270,4,Democratic,Pennsylvania,"Start: 1993, End: 2001, Chamber: House of Representatives"
"Kleczka, Gerald D.",K000259,4,Democratic,Wisconsin,"Start: 1983, End: 2005, Chamber: House of Representatives"
"Kingston, Jack",K000220,1,Republican,Georgia,"Start: 1993, End: 2015, Chamber: House of Representatives"
"King, Peter T.",K000210,2,Republican,New York,"Start: 1993, End: 2021, Chamber: House of Representatives"
"King, Carleton J.",K000195,29,Republican,New York,"Start: 1961, End: 1975, Chamber: House of Representatives"
"Kindness, Thomas N.",K000190,8,Republican,Ohio,"Start: 1975, End: 1987, Chamber: House of Representatives"
"Kim, Jay",K000181,41,Republican,California,"Start: 1993, End: 1999, Chamber: House of Representatives"
"Kildee, Dale E.",K000172,5,Democratic,Michigan,"Start: 1977, End: 2013, Chamber: House of Representatives"
"Keys, Martha E.",K000162,2,Democratic,Kansas,"Start: 1975, End: 1979, Chamber: House of Representatives"
"Ketchum, William M.",K000153,18,Republican,California,"Start: 1973, End: 1979, Chamber: House of Representatives"
"Kennelly, Barbara B.",K000118,1,Democratic,Connecticut,"Start: 1981, End: 1999, Chamber: House of Representatives"
"Kennedy, Patrick J.",K000113,1,Democratic,Rhode Island,"Start: 1995, End: 2011, Chamber: House of Representatives"
"Kennedy, Joseph P., II",K000110,8,Democratic,Massachusetts,"Start: 1987, End: 1999, Chamber: House of Representatives"
"Kemp, Jack",K000086,31,Republican,New York,"Start: 1971, End: 1989, Chamber: House of Representatives"
"Kelly, Sue W.",K000078,19,Republican,New York,"Start: 1995, End: 2007, Chamber: House of Representatives"
"Kelly, Richard",K000077,5,Republican,Florida,"Start: 1975, End: 1981, Chamber: House of Representatives"
"Keating, William J.",K000037,1,Republican,Ohio,"Start: 1971, End: 1975, Chamber: House of Representatives"
"Kazen, Abraham, Jr.",K000025,23,Democratic,Texas,"Start: 1967, End: 1985, Chamber: House of Representatives"
"Kastenmeier, Robert W.",K000020,2,Democratic,Wisconsin,"Start: 1959, End: 1991, Chamber: House of Representatives"
"Kasten, Robert W., Jr.",K000019,N/A,Republican,Wisconsin,"Start: 1975, End: 1979, Chamber: House of Representatives; Start: 1981, End: 1993, Chamber: Senate"
"Kasich, John R.",K000016,12,Republican,Ohio,"Start: 1983, End: 2001, Chamber: House of Representatives"
"Karth, Joseph E.",K000014,4,Democratic,Minnesota,"Start: 1959, End: 1977, Chamber: House of Representatives"
"Kanjorski, Paul E.",K000008,11,Democratic,Pennsylvania,"Start: 1985, End: 2011, Chamber: House of Representatives"
"Jordan, Barbara",J000266,18,Democratic,Texas,"Start: 1973, End: 1979, Chamber: House of Representatives"
"Jontz, Jim",J000265,5,Democratic,Indiana,"Start: 1987, End: 1993, Chamber: House of Representatives"
"Jones, Walter B., Jr.",J000255,3,Republican,North Carolina,"Start: 1995, End: 2019, Chamber: House of Representatives"
"Jones, Walter B.",J000256,1,Democratic,North Carolina,"Start: 1965, End: 1993, Chamber: House of Representatives"
"Jones, Robert E., Jr.",J000248,5,Democratic,Alabama,"Start: 1947, End: 1977, Chamber: House of Representatives"
"Jones, James R.",J000232,1,Democratic,Oklahoma,"Start: 1973, End: 1987, Chamber: House of Representatives"
"Jones, Ed",J000216,8,Democratic,Tennessee,"Start: 1969, End: 1989, Chamber: House of Representatives"
"Jones, Ben",J000211,4,Democratic,Georgia,"Start: 1989, End: 1993, Chamber: House of Representatives"
"Johnston, Harry",J000187,19,Democratic,Florida,"Start: 1989, End: 1997, Chamber: House of Representatives"
"Johnston, Eugene (Gene)",J000200,6,Republican,North Carolina,"Start: 1981, End: 1983, Chamber: House of Representatives"
"Johnson, Sam",J000174,3,Republican,Texas,"Start: 1991, End: 2019, Chamber: House of Representatives"
"Johnson, Nancy L.",J000163,5,Republican,Connecticut,"Start: 1983, End: 2007, Chamber: House of Representatives"
"Johnson, Harold T.",J000135,1,Democratic,California,"Start: 1959, End: 1981, Chamber: House of Representatives"
"Johnson, Don",J000120,10,Democratic,Georgia,"Start: 1993, End: 1995, Chamber: House of Representatives"
"Johnson, Albert W.",J000115,23,Republican,Pennsylvania,"Start: 1963, End: 1977, Chamber: House of Representatives"
"Jenkins, Edgar L.",J000083,9,Democratic,Georgia,"Start: 1977, End: 1993, Chamber: House of Representatives"
"Jeffries, Jim",J000074,2,Republican,Kansas,"Start: 1979, End: 1983, Chamber: House of Representatives"
"Jeffords, James M.",J000072,N/A,Independent,Vermont,"Start: 1975, End: 1989, Chamber: House of Representatives; Start: 1989, End: 2007, Chamber: Senate"
"Jefferson, William J.",J000070,2,Democratic,Louisiana,"Start: 1991, End: 2009, Chamber: House of Representatives"
"Jarman, John",J000057,5,Democratic,Oklahoma,"Start: 1951, End: 1977, Chamber: House of Representatives"
"James, Craig T.",J000047,4,Republican,Florida,"Start: 1989, End: 1993, Chamber: House of Representatives"
"Jacobs, Andrew, Jr.",J000033,10,Democratic,Indiana,"Start: 1965, End: 1973, Chamber: House of Representatives; Start: 1975, End: 1997, Chamber: House of Representatives"
"Jackson, Jesse L., Jr.",J000283,2,Democratic,Illinois,"Start: 1995, End: 2012, Chamber: House of Representatives"
"Istook, Ernest J., Jr.",I000047,5,Republican,Oklahoma,"Start: 1993, End: 2007, Chamber: House of Representatives"
"Inslee, Jay",I000026,1,Democratic,Washington,"Start: 1993, End: 1995, Chamber: House of Representatives; Start: 1999, End: 2012, Chamber: House of Representatives"
"Inglis, Bob",I000023,4,Republican,South Carolina,"Start: 1993, End: 1999, Chamber: House of Representatives; Start: 2005, End: 2011, Chamber: House of Representatives"
"Ichord, Richard H.",I000001,8,Democratic,Missouri,"Start: 1961, End: 1981, Chamber: House of Representatives"
"Hyde, Henry J.",H001022,6,Republican,Illinois,"Start: 1975, End: 2007, Chamber: House of Representatives"
"Hutto, Earl",H001018,1,Democratic,Florida,"Start: 1979, End: 1995, Chamber: House of Representatives"
"Hutchinson, Tim",H001015,N/A,Republican,Arkansas,"Start: 1993, End: 1997, Chamber: House of Representatives; Start: 1997, End: 2003, Chamber: Senate"
